Name,Nationality,Logo Index,Category,Prestige,Slot Sponsoring,Team sponsoring,Upfront Value,HomeBonus Value,Bonus Difficulty,Bonus Target,Bonus Amount,Per Race Payment,Deal Length,DealTotal,DealValue,Offer Timer,Offer Cooldown,Starting Cooldown,Days After,Available in,Liaison First Name,Liaison Last Name,Gender,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair
Ravelli & Co,Switzerland,27,Fashion,2,6,10; 45; 39; 46; 58,0.66,0,,,,0.65,10,4,0.4,2,27,21,0,21,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Shield,Switzerland,28,Security,2,6,,1.75,0,,,,0.75,8,1.6,0.2,3,39,34,0,34,Edgar,Brook,M,0,1,9,0,0,0
Peach-Plum,NewZealand,29,Food,1,6,20; 11;48; 40; 42,0.45,0,,,,0.45,9,3.15,0.35,1,9,0,0,0,Kasen,Castense,M,2,2,0,1,0,0
Boa Vista,Brazil,30,Travel,1,6,41,1.2,0,,,,0.3,6,1,0.167,1,12,12,0,12,Jeffery,Crocker,M,4,7,6,0,0,0
Root Investments,SouthAfrica,31,Banking,5,5,5,2.2,0,4,3,1.3,,5,7.5,1.5,3,5,5,0,5,James,Freeman,M,4,2,7,0,0,0
El Banco,Spain,32,Banking,5,5,,3,0,4,3,1,,7,10,1.429,4,128,0,0,0,Chance,Geiger,M,0,4,8,0,0,0
Iceni,UK,33,Security,3,5,,2,0,4,3,1.3,,6,8.55,1.425,1,82,42,0,42,Chris,Bacheler,M,1,5,8,0,0,0
Vamoose,Canada,34,Games,4,5,2,1.5,0,4,3,1.2,,6,8.7,1.45,4,79,51,0,51,Isiah,Jeffers,M,0,4,1,0,0,0
Condor,UnitedStates,35,Telecoms,3,5,17; 44,1,0,3,4,0.9,,8,7.4,0.925,3,52,22,0,22,Allen,Burr,M,2,4,9,0,0,0
Squillado,Italy,36,Games,3,5,16; 54; 63,0.5,0,3,4,0.9,,7,6.3,0.9,3,55,11,0,11,Jesus,Packard,M,0,1,3,0,0,0
Ambrosia,France,37,Food,3,5,11,0.7,0,3,6,0.7,,3,2.4,0.8,2,70,0,0,0,Caleb,Harding,M,2,4,5,0,0,0
Chiffre,France,38,Fashion,2,5,39; 55,0.3,0,3,5,0.8,,10,8,0.8,1,24,0,0,0,Elias,Froge,M,0,1,6,1,1,0
Akus,China,39,Technology,2,5,30; 28,0.75,0,3,6,0.75,,7,5.3,0.757,2,36,34,0,34,Landan,Charlemagne,M,2,5,3,0,0,0
Jandemole,Netherlands,40,Media,1,5,25; 51; 62,0.5,0,2,8,0.65,,12,6,0.5,1,10,0,0,0,Maximilian,Dunkeson,M,0,6,6,0,0,0
Wan Chai Industries,China,41,Technology,1,5,15,0.75,0,2,9,0.55,,8,4.35,0.544,1,10,0,0,0,Kolby,Huntsinger,M,0,4,0,0,0,0
Shimizu,Japan,50,Automotive,5,2,5; 53,6,0,,,,1.5,12,8.7,0.621,3,106,77,0,77,Eddie,Lowry,M,1,6,8,1,0,0
Roux-Leroy,France,43,Alcoholic Drinks,4,2,,0.75,0,,,,1.15,10,8.15,0.741,3,139,114,0,114,Marcus,Bouton,M,5,2,6,0,0,0
Jogo,Brazil,44,Games,3,2,38; 57,1,0,,,,0.8,12,5.05,0.421,3,76,15,0,15,Kenyon,Beer,M,4,2,9,0,1,0
Bebelitas,Spain,45,Appliances,3,2,,2.75,0,,,,0.9,8,2.75,0.344,3,98,0,0,0,Miles,Chatterton,M,2,5,8,0,0,0
Hablar Hablar,Argentina,46,Telecoms,3,2,17; 36; 54,0.25,0,,,,0.85,10,2,0.2,2,65,21,0,21,Johnathon,Bout,M,1,4,9,0,0,0
Brutus Tyres,Italy,47,Automotive,4,2,3; 52,0.75,0,,,,1.4,6,1.1,0.183,1,65,0,0,0,Kristopher,Middleshitch,M,0,2,9,0,0,0
La Paz Telecom,Mexico,48,Media,3,2,,4.4,0,,,,0.75,4,0.75,0.188,2,52,46,0,46,Luciano,Couwenhoven,M,1,3,9,0,0,0
La Roka,Italy,49,Fashion,2,2,14,1,0,,,,0.65,10,1,0.1,2,20,0,0,0,Jaylin,Baldwin,M,0,4,2,0,0,0
HX,SouthKorea,42,Telecoms,2,2,20,0.65,0,,,,0.55,7,1.4,0.2,2,33,25,0,25,Davion,Leech,M,3,6,6,0,0,0
Rogerson Ales,UK,51,Alcoholic Drinks,1,2,,1,0,,,,0.35,8,0.5,0.063,1,15,3,0,3,Nathen,Bourdeau,M,1,3,6,0,0,0
Maxwells Beer,UnitedStates,52,Alcoholic Drinks,1,2,19; 30; 13; 50; 47,0.5,0,,,,0.4,6,0.9,0.15,1,13,0,0,0,Jared,Hufftail,M,2,1,7,0,0,0
Sheikh Airways,Qatar,53,Travel,1,2,10;31; 40; 51,0.65,0,,,,0.5,5,0.79,0.198,1,7,2,0,2,Kyle,Malier,M,1,5,9,1,0,0
Football Manager,UK,58,Games,5,1,5,1,3.4,2,7,1.3,,5,3.4,0.85,3,138,46,0,46,Nolan,Bourdeau,M,2,7,6,1,0,0
Playsport Games,UK,62,Games,4,1,33; 57,0.55,2.2,2,7,1.1,,5,2.25,0.75,3,88,0,0,0,Camden,Carter,M,4,5,9,0,0,0
Nippon Motors,Japan,56,Automotive,4,1,4; 60,0,3,2,10,1.05,,4,1.6,0.4,2,58,53,252,-199,Deven,Garnier,M,1,7,7,0,1,0
Gustavo Cruises,Portugal,57,Travel,2,1,12; 46,0.8,0,2,10,0.75,,4,2.4,0.6,2,58,32,0,32,Matias,Hoopes,M,1,7,2,0,0,0
Deutsche Air,Germany,54,Travel,2,1,23,0.4,0,1,11,0.6,,6,1.8,0.3,2,25,0,0,0,Miles,Jacobsen,M,2,6,7,0,0,0
Luxina,Italy,59,Appliances,1,1,21; 51,0.5,0,1,12,0.5,,6,1.8,0.3,2,39,39,0,39,Drake,FitzGerald,M,3,6,8,1,0,0
Golden Tiger Bank,China,60,Banking,2,1,31; 59,0.9,0,1,13,0.7,,9,2.7,0.3,2,36,0,0,0,Saskia,Boom,F,2,2,4,1,0,0
Big Dough,UK,61,Food,1,1,24,0.65,0,1,14,0.3,,4,0.6,0.15,1,11,0,0,0,Connor,King,M,1,6,5,0,0,0
RussJet,RussianFederation,55,Travel,1,1,27; 11;47;37,1,0,1,16,0.4,,10,1.75,0.175,2,13,0,0,0,Jo,Kohler,F,2,2,4,1,0,0
Rogerson Ales,UK,51,Alcoholic Drinks,1,1,6;18;20;29,0.33,0,1,16,0.5,,4,0,0,1,2000000,2000000,0,2000000,Nathen,Bourdeau,M,1,3,6,0,0,0
SpecialEffect,UK,63,Charity,3,1,2,1,3.4,2,7,1,,4,3.4,0.85,3,138,46,0,46,Drake,Baldwin,M,2,7,6,1,0,0
