Team,Location,Size,Site space,Scene,Design Centre,Factory,Telemetry Centre,Test Track,Wind Tunnel,Simulator,Brakes Research Facility,Ride Handling Development,Scouting Facility,Staff Housing,Logistics Centre,Road Car Factory,Tour Centre,Theme Park,Helipad
53,Japan,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
54,Germany,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
55,Japan,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
56,France,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
57,UK,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
58,UK,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
59,Japan,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
60,France,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
61,France,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
62,UK,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
63,Italy,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
64,Japan,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
65,Germany,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
66,China,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
67,Japan,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
68,UK,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
69,Italy,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
70,France,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
71,Japan,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
72,Germany,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
73,Germany,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
74,Netherlands,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
75,Germany,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
76,Italy,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
77,UnitedStates,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
78,UK,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
79,UnitedStates,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
80,UK,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
81,Germany,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
82,Japan,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
83,UK,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
84,Germany,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
85,UK,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
